# mac_addr	mangled	demangled
# source: Mac PEF traceback tables; addr = 0x10000000 + code-section offset
# NOTE: old lift-comment mac addrs came from a DIFFERENT Mac build - match by NAME
0x10006c14	.rotate_left__Q23std19__red_black_tree<1>FPQ33std19__red_black_tree<1>9node_baseRPQ33std19__red_black_tree<1>9node_base	std::__red_black_tree<1>::rotate_left(std::__red_black_tree<1>::node_base*, std::__red_black_tree<1>::node_base*&)
0x10006d34	.__ct__16InitialThrowInfoFv	InitialThrowInfo::InitialThrowInfo()
0x10006d94	.SetTimerTime__7GScriptFv	GScript::SetTimerTime()
0x10006f34	.SetSize__12PileResourceFv	PileResource::SetSize()
0x10007044	.increment__Q23std19__red_black_tree<1>FRPCQ33std19__red_black_tree<1>9node_base	std::__red_black_tree<1>::increment(const std::__red_black_tree<1>::node_base*&)
0x10007124	.GetNextPos__8FishFarmFR9MapCoordsRUl	FishFarm::GetNextPos(MapCoords&, unsigned long&)
0x100071b4	.UpdateHowImpressed__8VillagerFP8Reactioni	Villager::UpdateHowImpressed(Reaction*, int)
0x10007354	.SetAngleOnMoveBy__13MobileWallHugFv	MobileWallHug::SetAngleOnMoveBy()
0x100073d4	.GetSpeed__13MobileWallHugCFv	MobileWallHug::GetSpeed() const
0x10007414	.Accumulate__6AnimalFP6JustXZP6JustXZ	Animal::Accumulate(JustXZ*, JustXZ*)
0x100075b4	.GetAccumulateRemaining__6AnimalFP6JustXZ	Animal::GetAccumulateRemaining(JustXZ*)
0x10007674	.GetFoodDesireFromFood__8VillagerFf	Villager::GetFoodDesireFromFood(float)
0x10007704	.Set__9MapCoordsFRC9MapCoords	MapCoords::Set(const MapCoords&)
0x10007794	.GetThingBeliefForPlayer__7GScriptFv	GScript::GetThingBeliefForPlayer()
0x10007924	.color__Q33std19__red_black_tree<1>9node_baseCFv	std::__red_black_tree<1>::node_base::color() const
0x10007974	.IncreaseReferenceCount__12ScriptManageFv	ScriptManage::IncreaseReferenceCount()
0x10007ab4	.Get__28LHPTR<C18GMultiMapFixedInfo>CFv	LHPTR<C18GMultiMapFixedInfo>::Get() const
0x10007b04	.GetInfo__12PlannedAbodeFv	PlannedAbode::GetInfo()
0x10007b54	.GetAbodeType__12PlannedAbodeFv	PlannedAbode::GetAbodeType()
0x10007bb4	.GetBestPlanned__4TownFRf10ABODE_TYPE	Town::GetBestPlanned(float&, ABODE_TYPE)
0x10007c94	.ProcessPosition__6CMouseFv	CMouse::ProcessPosition()
0x10007d44	.KeepLeaderWithinDomain__6AnimalFv	Animal::KeepLeaderWithinDomain()
0x10007ec4	.GetArrivePos__10StoragePitFv	StoragePit::GetArrivePos()
0x10007f34	.GetCongregationPos__4TownFv	Town::GetCongregationPos()
0x10008284	.GetScriptObjectType__7FeatureFv	Feature::GetScriptObjectType()
0x100082c4	.GetScriptObjectType__15ScriptHighlightFv	ScriptHighlight::GetScriptObjectType()
0x10008314	.Height__8LHScreenFv	LHScreen::Height()
0x10008344	.Width__8LHScreenFv	LHScreen::Width()
0x10008374	.GetScriptObjectType__12MobileStaticFv	MobileStatic::GetScriptObjectType()
0x100083b4	.LocalRand__5GDataFl	GData::LocalRand(long)
0x10008424	.XZWholeMapDistance__6GUtilsFRC9MapCoordsRC9MapCoords	GUtils::XZWholeMapDistance(const MapCoords&, const MapCoords&)
0x100084d4	.Abs__6GUtilsFl	GUtils::Abs(long)
0x10008524	.__ct__11PSysManagerFRC12PSysFileData	PSysManager::PSysManager(const PSysFileData&)
0x100086d4	.SendPacketCompressed__5GGameF11PACKET_TYPE25SETPACKET_FUNCTION_NUMBER	GGame::SendPacketCompressed(PACKET_TYPE, SETPACKET_FUNCTION_NUMBER)
0x1000b004	.AtStructureAddResource__8VillagerFP13MultiMapFixed13RESOURCE_TYPERUlb	Villager::AtStructureAddResource(MultiMapFixed*, RESOURCE_TYPE, unsigned long&, bool)
0x1000b1f4	.GetPosOutsideMyHouse__8VillagerFR9MapCoords	Villager::GetPosOutsideMyHouse(MapCoords&)
0x1000b324	.AddDrawing__12ValueSpinnerFv	ValueSpinner::AddDrawing()
0x1000b404	.WantToQuitFight__14CameraModeNew3F7LHPoint7LHPointf	CameraModeNew3::WantToQuitFight(LHPoint, LHPoint, float)
0x1000b5f4	.Update__16CameraModeScriptFv	CameraModeScript::Update()
0x1000b664	.Update__16CameraModeFollowFv	CameraModeFollow::Update()
0x1000c0b4	.GetInterfaceUpdateCount__5GGameFv	GGame::GetInterfaceUpdateCount()
0x1000c114	.InterfaceActionStateInterfaceOff__10GInterfaceFv	GInterface::InterfaceActionStateInterfaceOff()
0x1000c164	.ChangeStateToFindFoodToEat__8VillagerFv	Villager::ChangeStateToFindFoodToEat()
0x1000c3e4	.CheckNeededForSomething__8VillagerFv	Villager::CheckNeededForSomething()
0x1000c484	.GetAbode__8VillagerFv	Villager::GetAbode()
0x1000c4b4	.SetVillagerDisciple__8VillagerFP9GameThing17VILLAGER_DISCIPLEi	Villager::SetVillagerDisciple(GameThing*, VILLAGER_DISCIPLE, int)
0x1000c664	.IsInACreaturesHand__8VillagerFv	Villager::IsInACreaturesHand()
0x1000c704	.InHand__8VillagerFv	Villager::InHand()
